work,title,lang,kind,units-on-page,tokens,carded%,maxRows,dupRows,cjkLeaks,m4Bad,glossMax,densityPx,exp,chips,grade,error
bhagavadgita,"Bhagavadgītā",sa,verse,30,338,100,1,0,0,0,119,1953,ok,,191,A,
mahabharata,"Mahābhārata",sa,prose,30,1758,97.4,1,0,0,0,120,5228,ok,,717,A,
isa-upanishad,"Īśā Upaniṣad",sa,verse,18,257,38.5,1,0,0,0,117,1499,ok,,66,C,
katha-upanishad,"Kaṭha Upaniṣad",sa,verse,30,496,31.5,1,0,0,0,118,1011,ok,,113,C,
prasna-upanishad,"Praśna Upaniṣad",sa,verse,30,513,32.4,1,0,0,0,117,1229,ok,,111,C,
mundaka-upanishad,"Māṇḍūkya Upaniṣad",sa,verse,12,152,21.1,1,0,0,0,115,437,ok,note,29,C,
aitareya-upanishad,"Aitareya Upaniṣad",sa,verse,30,641,31.7,1,0,0,0,118,1308,ok,,136,C,
taittiriya-upanishad,"Taittirīya Upaniṣad",sa,verse,30,966,24.3,1,0,0,0,118,1245,ok,,142,C,
brihadaranyaka-upanishad,"Bṛhadāraṇyaka Upaniṣad",sa,verse,30,973,35.4,1,0,0,0,118,1563,ok,,277,C,
chandogya-upanishad,"Chāndogya Upaniṣad",sa,verse,30,581,33.9,1,0,0,0,118,1080,ok,,118,C,
kenopanishad,"Kena Upaniṣad",sa,verse,30,323,33.7,1,0,0,0,118,1649,ok,note,83,C,
mundakopanishad,"Muṇḍaka Upaniṣad",sa,verse,30,403,17.4,1,0,0,0,118,910,ok,note,45,C,
svetasvatara-upanishad,"Śvetāśvatara Upaniṣad",sa,verse,30,414,24.2,1,0,0,0,118,1119,ok,note,68,C,
kausitaki-upanishad,"Kauṣītaki Upaniṣad",sa,verse,30,1221,21.7,1,0,0,0,118,1503,ok,note,208,C,
maitri-upanishad,"Maitrī Upaniṣad",sa,verse,30,865,17.8,1,0,0,0,120,557,ok,note,105,C,
pali-khuddakapatha,"Khuddakapāṭha",pi,verse,9,1102,11.7,1,0,0,0,116,0,ok,note,77,C,
pali-dhammapada,"Dhammapada",pi,verse,30,375,14.1,1,0,0,0,116,776,ok,note,29,C,
pali-udana,"Udāna",pi,prose,30,5796,11,1,0,0,0,118,735,ok,note,451,C,
pali-itivuttaka,"Itivuttaka",pi,prose,30,2231,12.6,1,0,0,0,118,797,ok,note,166,C,
pali-suttanipata,"Sutta Nipāta",pi,verse,30,7856,15.1,1,0,0,0,118,3456,ok,note,813,C,
pali-vimanavatthu,"Vimānavatthu",pi,verse,30,3763,13.6,1,0,0,0,118,2169,ok,note,315,C,
pali-petavatthu,"Petavatthu",pi,verse,30,5588,12.4,1,0,0,0,118,580,ok,note,465,C,
