work|dcs_dir|pct|strict_pct|hits
abhijnanasakuntala|-|96.0|76.4|11260/11729
aitareya-upanishad|Aitareyopaniṣad|97.0|87.0|711/733
arthasastra|Arthaśāstra|95.4|89.4|55921/58594
astasahasrika|Aṣṭasāhasrikā|99.0|88.5|64071/64742
bhadracari|-|90.3|47.5|695/770
bhagavadgita|-|98.5|98.5|8349/8474
bhagavata-01|Bhāgavatapurāṇa|99.4|96.4|8484/8538
bhagavata-02|-|99.2|97.5|4359/4396
bhagavata-03|-|98.7|94.9|19886/20158
bhagavata-04|-|98.2|92.5|20263/20637
bhagavata-05|-|96.4|80.5|14032/14560
bhagavata-06|-|96.1|70.3|8452/8791
bhagavata-07|-|95.4|67.6|7389/7745
bhagavata-08|-|96.5|72.8|9059/9389
bhagavata-09|-|96.0|69.5|8919/9292
bhagavata-10|-|96.5|85.6|55600/57611
bhagavata-11|-|97.7|92.4|19035/19474
bhagavata-12|-|97.2|85.9|7681/7906
bhaishajyaguru|-|97.7|77.5|2292/2347
brahma-sutra|-|92.8|60.3|1631/1757
brihadaranyaka-upanishad|Bṛhadāraṇyakopaniṣad|98.6|95.3|16278/16513
buddhacarita|Buddhacarita|99.2|95.7|11479/11569
caurapancasika|Caurapañcaśikā|97.6|94.6|652/668
chandogya-upanishad|Chāndogyopaniṣad|98.1|94.8|13772/14035
dasabhumika|-|96.9|60.2|11549/11915
diamond-sutra|-|98.4|83.0|3326/3380
gandavyuha|-|95.9|53.0|61632/64255
gitagovinda|Gītagovinda|99.7|99.5|3994/4007
heart-sutra|-|96.2|71.2|127/132
hitopadesa|Hitopadeśa|99.0|98.3|19534/19738
isa-upanishad|-|97.3|89.1|250/257
kamasutra|Kāmasūtra|98.3|95.3|13737/13976
katha-upanishad|Kaṭhopaniṣad|99.6|99.2|1854/1862
kausitaki-upanishad|Kauṣītakyupaniṣad|95.3|68.3|2556/2683
kenopanishad|-|92.0|69.8|344/374
kiratarjuniya|Kirātārjunīya|99.6|98.6|12948/13003
kumarasambhava|Kumārasaṃbhava|99.7|99.0|7249/7269
lalitavistara|-|93.4|72.5|48069/51469
lankavatara|Laṅkāvatārasūtra|97.5|76.8|26344/27017
mahabharata|Mahābhārata|99.5|96.6|1040797/1046048
maitri-upanishad|-|91.1|58.4|3502/3844
manusmrti|Manusmṛti|99.4|97.9|31775/31974
meghaduta|Meghadūta|99.2|92.9|2110/2127
mundaka-upanishad|-|94.7|67.8|144/152
mundakopanishad|Muṇḍakopaniṣad|96.1|83.4|858/893
nyaya-sutra|Nyāyasūtra|99.1|93.7|1644/1659
pancatantra|-|97.7|90.5|45861/46961
prasna-upanishad|-|97.5|85.5|1245/1277
raghuvamsa|-|94.4|68.1|19096/20237
ramayana|Rāmāyaṇa|99.7|98.2|213156/213815
rigveda-mandala01|Ṛgveda|98.9|98.6|31838/32176
rigveda-mandala02|-|99.1|98.6|7615/7688
rigveda-mandala03|-|99.0|98.6|9767/9866
rigveda-mandala04|-|98.9|98.5|9541/9643
rigveda-mandala05|-|99.0|98.6|11379/11499
rigveda-mandala06|-|98.9|98.5|12364/12503
rigveda-mandala07|-|98.9|98.6|13994/14143
rigveda-mandala08|-|99.1|98.7|21560/21764
rigveda-mandala09|-|99.5|99.1|13994/14064
rigveda-mandala10|-|99.0|98.4|29438/29748
rtusamhara|Ṛtusaṃhāra|99.7|97.3|1655/1660
saddharmapundarika|Saddharmapuṇḍarīkasūtra|94.4|80.6|43232/45780
samadhiraja|-|92.3|65.3|36003/39025
sankhya-karika|Sāṃkhyakārikā|96.9|91.9|822/848
satakatraya|Śatakatraya|99.0|97.7|6101/6164
sisupalavadha|-|93.5|44.1|13084/13997
sukhavativyuha|-|96.1|72.2|7555/7858
sukhavativyuha-smaller|-|93.4|74.6|930/996
suvarnaprabhasa|-|92.1|59.9|12649/13737
svetasvatara-upanishad|Śvetāśvataropaniṣad|98.6|90.1|1700/1725
taittiriya-upanishad|Taittirīyopaniṣad|97.7|90.7|1665/1704
tantrakhyayika|Tantrākhyāyikā|98.7|96.2|6277/6362
vetalapancavimsati|-|96.8|79.4|25428/26265
yoga-sutra|Yogasūtra|98.0|89.8|653/666
