lemma,count,POS,reason
ता,542,noun,no exact MW headword
भ्रातृ,501,noun,no exact MW headword
हनुमन्त्,437,noun,no exact MW headword
कश्चित्,372,part,no exact MW headword
त्वद्,337,part,no exact MW headword
त्रि,320,noun,no exact MW headword
पञ्चन्,280,part,no exact MW headword
द्वि,263,noun,no exact MW headword
चतुर्,211,noun,no exact MW headword
मैथिली,211,noun,no exact MW headword
चिन्तय्,198,verb,no exact MW headword
कारय्,195,verb,no exact MW headword
उभ,187,noun,no exact MW headword
योषित्,147,noun,no exact MW headword
कथय्,144,verb,no exact MW headword
पूजय्,140,part,no exact MW headword
प्रच्छ्,140,verb,no exact MW headword
यूथप,138,noun,no exact MW headword
समन्ततः,130,indecl,no exact MW headword
ॐ,110,,no exact MW headword
प्लवंगम,109,noun,no exact MW headword
दर्शय्,107,verb,no exact MW headword
प्रच्छ्,107,part,no exact MW headword
संक्रुध्,106,part,no exact MW headword
भूषय्,105,part,no exact MW headword
एनद्,104,part,no exact MW headword
निवेदय्,104,verb,no exact MW headword
भक्षय्,104,part,no exact MW headword
आकर्णय्,99,indecl,no exact MW headword
पीडय्,96,part,no exact MW headword
जनकात्मजा,95,noun,no exact MW headword
आकार,93,noun,no exact MW headword
भक्षय्,88,verb,no exact MW headword
अर्दय्,85,part,no exact MW headword
उभय,84,noun,no exact MW headword
कदाचिद्,83,indecl,no exact MW headword
शुद्धोदन,83,noun,no exact MW headword
तोय,79,noun,no exact MW headword
प्रेषय्,77,verb,no exact MW headword
जनय्,75,verb,no exact MW headword
अटवी,73,noun,no exact MW headword
घातय्,73,verb,no exact MW headword
चिन्तय्,73,part,no exact MW headword
स्थापय्,72,verb,no exact MW headword
नगरी,71,noun,no exact MW headword
अभिवादय्,70,indecl,no exact MW headword
धारय्,70,verb,no exact MW headword
अवलोकय्,68,indecl,no exact MW headword
जाम्बवन्त्,68,noun,no exact MW headword
मारुतात्मज,68,noun,no exact MW headword
विभूषय्,68,part,no exact MW headword
पूजय्,67,verb,no exact MW headword
कच्चित्,66,indecl,no exact MW headword
रात्र,64,noun,no exact MW headword
दर्शय्,63,part,no exact MW headword
दुहितृ,63,noun,no exact MW headword
प्रस्वप्,63,part,no exact MW headword
शोभय्,62,part,no exact MW headword
समासादय्,61,indecl,no exact MW headword
साधय्,60,verb,no exact MW headword
साहस्र,59,noun,no exact MW headword
ईं,58,indecl,no exact MW headword
चोदय्,57,part,no exact MW headword
तृ,57,verb,no exact MW headword
उपशोभय्,56,part,no exact MW headword
पातय्,55,verb,no exact MW headword
दिवस,54,noun,no exact MW headword
कर्शय्,53,part,no exact MW headword
विचिन्तय्,52,verb,no exact MW headword
उपसंक्रम्,51,indecl,no exact MW headword
आलोकय्,50,indecl,no exact MW headword
समन्वागम्,50,part,no exact MW headword
मूर्छय्,49,part,no exact MW headword
सम्पृ,49,part,no exact MW headword
दण्डय्,47,part,no exact MW headword
चतुर्दशन्,45,noun,no exact MW headword
भार्या,45,noun,no exact MW headword
विचिन्तय्,45,indecl,no exact MW headword
आरोपय्,44,indecl,no exact MW headword
किंतु,43,indecl,no exact MW headword
निवेशय्,43,verb,no exact MW headword
पञ्चन्,42,noun,no exact MW headword
कल्पय्,41,verb,no exact MW headword
निरीक्ष्,41,indecl,no exact MW headword
वर्जय्,41,part,no exact MW headword
आज्ञापय्,40,verb,no exact MW headword
कथय्,40,part,no exact MW headword
केचित्,40,indecl,no exact MW headword
दृश्1_णिच्,40,part,no exact MW headword
स्वसृ,40,noun,no exact MW headword
दीर्घरात्रम्,39,indecl,no exact MW headword
परिप्रच्छ्,39,verb,no exact MW headword
प्रकाश्,39,verb,no exact MW headword
परिपृ,38,part,no exact MW headword
ग्राहय्,37,verb,no exact MW headword
निवेदय्,37,part,no exact MW headword
स्थापय्,37,part,no exact MW headword
अवतृ,36,indecl,no exact MW headword
निःस्वन,36,noun,no exact MW headword
निष्पत्,36,verb,no exact MW headword
